"country","region","country_no","excelsource","type_data","excelsheet","country_code","name_label","death_occurrence_date","death_publication_date","cum_death_total_occ_date"
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-06-02,2020-07-24,4703
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-06-01,2020-07-24,4667
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-05-31,2020-07-24,4627
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-05-30,2020-07-24,4582
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-05-29,2020-07-24,4543
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-05-28,2020-07-24,4503
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-05-27,2020-07-24,4463
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-05-26,2020-07-24,4424
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-05-25,2020-07-24,4396
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-05-24,2020-07-24,4354
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-05-23,2020-07-24,4311
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-05-22,2020-07-24,4255
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-05-21,2020-07-24,4199
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-05-20,2020-07-24,4146
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-05-19,2020-07-24,4092
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-05-18,2020-07-24,4053
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-05-17,2020-07-24,3992
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-05-16,2020-07-24,3939
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-05-15,2020-07-24,3891
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-05-14,2020-07-24,3834
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-05-13,2020-07-24,3788
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-05-12,2020-07-24,3738
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-05-11,2020-07-24,3677
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-05-10,2020-07-24,3613
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-05-09,2020-07-24,3539
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-05-08,2020-07-24,3471
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-05-07,2020-07-24,3411
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-05-06,2020-07-24,3331
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-05-05,2020-07-24,3258
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-05-04,2020-07-24,3186
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-05-03,2020-07-24,3102
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-05-02,2020-07-24,3027
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-05-01,2020-07-24,2954
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-04-30,2020-07-24,2876
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-04-29,2020-07-24,2798
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-04-28,2020-07-24,2714
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-04-27,2020-07-24,2632
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-04-26,2020-07-24,2559
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-04-25,2020-07-24,2484
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-04-24,2020-07-24,2411
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-04-23,2020-07-24,2322
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-04-22,2020-07-24,2236
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-04-21,2020-07-24,2159
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-04-20,2020-07-24,2097
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-04-19,2020-07-24,2013
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-04-18,2020-07-24,1925
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-04-17,2020-07-24,1839
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-04-16,2020-07-24,1757
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-04-15,2020-07-24,1646
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-04-14,2020-07-24,1531
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-04-13,2020-07-24,1440
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-04-12,2020-07-24,1355
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-04-11,2020-07-24,1258
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-04-10,2020-07-24,1155
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-04-09,2020-07-24,1065
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-04-08,2020-07-24,979
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-04-07,2020-07-24,864
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-04-06,2020-07-24,780
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-04-05,2020-07-24,690
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-04-04,2020-07-24,605
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-04-03,2020-07-24,535
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-04-02,2020-07-24,455
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-04-01,2020-07-24,385
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-03-31,2020-07-24,332
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-03-30,2020-07-24,284
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-03-29,2020-07-24,239
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-03-28,2020-07-24,201
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-03-27,2020-07-24,166
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-03-26,2020-07-24,134
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-03-25,2020-07-24,103
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-03-24,2020-07-24,81
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-03-23,2020-07-24,60
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-03-22,2020-07-24,49
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-03-21,2020-07-24,38
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-03-20,2020-07-24,30
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-03-19,2020-07-24,21
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-03-18,2020-07-24,14
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-03-17,2020-07-24,8
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-03-16,2020-07-24,7
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-03-15,2020-07-24,5
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-03-14,2020-07-24,3
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-03-13,2020-07-24,2
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-03-12,2020-07-24,1
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-03-11,2020-07-24,1
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-03-10,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-03-09,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-03-08,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-03-07,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-03-06,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-03-05,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-03-04,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-03-03,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-03-02,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-03-01,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-02-29,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-02-28,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-02-27,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-02-26,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-02-25,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-02-24,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-02-23,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-02-22,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-02-21,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-02-20,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-02-19,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-02-18,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-02-17,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-02-16,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-02-15,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-02-14,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-02-13,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-02-12,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-02-11,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-02-10,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-02-09,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-02-08,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-02-07,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-02-06,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-02-05,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-02-04,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-02-03,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-02-02,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-02-01,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-01-31,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-01-30,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-01-29,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-01-28,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-01-27,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-01-26,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-01-25,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-01-24,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-01-23,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-01-22,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-01-21,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-01-20,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-01-19,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-01-18,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-01-17,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-01-16,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-01-15,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-01-14,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-01-13,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-01-12,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-01-11,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-01-10,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-01-09,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-01-08,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-01-07,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-01-06,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-01-05,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-01-04,2020-07-24,0
"Sweden","Europe",752,"Sweden_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","PHAS_DailyTotal","SWE","Sweden (PHAS)",2020-07-23,2020-07-23,5666
